id,path,type
ad70cddf81736a1b36f691ba009b7eb0,news/2020/alumni-spotlight-esper,page
ad805ab681736a1b36f691bac9393ec4,news/2020/ashley-judd,page
ad7435ff81736a1b36f691bab0a55d17,news/2020/coehd-partners-with-air,page
ad8055c681736a1b36f691ba229a3a9b,news/2020/deans-supreme-court-daca-statement,page
ad70d2b281736a1b36f691ba3f688ab8,news/2020/graduate-spotlight,page
ad758aa381736a1b36f691baca08fe46,news/2020/graduate-students-receive-awards,page
ad759a5c81736a1b36f691baf3be31d8,news/2020/hispanic-heritage-month,page
ad6f5e0b81736a1b36f691bae3afede2,news/2020/michelle-norris,page
ad768c3281736a1b36f691ba6cc61141,news/2020/new-faculty-2020,page
ad7580b281736a1b36f691bab1378f4b,news/2020/outstanding-book-award,page
ad75859781736a1b36f691bab0e82a4b,news/2020/professor-emeritus-3-awards,page
ad74517c81736a1b36f691ba821c2743,news/2020/sansone-honored,page
ad80471f81736a1b36f691ba70e33397,news/2020/speedlin-gonzalez-story,page
ad758fd781736a1b36f691bac481c36b,news/2020/summer-bridging-institute,page
ad76778681736a1b36f691ba55fd7d74,news/2020/three-new-dept-chairs,page
ad74627481736a1b36f691ba52b63daf,news/2020/utsa-alamo-colleges,page
ad75954f81736a1b36f691ba9807faec,news/2020/utsa-child-development-center-welcomeback,page
ad6e719981736a1b36f691bab0b7076e,news/2021/aas-teachers-academy-returns,page
ad6e79d881736a1b36f691bac3032989,news/2021/aleman_wsi_director,page
ad71ac3381736a1b36f691ba130c7c0b,news/2021/alum-spotlight-erica-camarillo,page
ad718b0681736a1b36f691ba6217694f,news/2021/alumn-Janeth-Martinez-Cortes-joins-NSF,page
ad718f7e81736a1b36f691ba59fb2641,news/2021/alumn_named_teacher_of_the_year,page
ad80e7f181736a1b36f691ba136799ed,news/2021/alumn_spotlight_hilda_rodriguez,page
ad82406e81736a1b36f691babff1be9f,news/2021/alumn_spotlight_hind_alkamiri,page
ad6e922b81736a1b36f691baeb6e0265,news/2021/alumn_spotlight_valerie_arce,page
ad6e635381736a1b36f691ba760c1dfb,news/2021/article,page
ad71866d81736a1b36f691ba1f0fd305,news/2021/becky-huang-grant,page
ad70378781736a1b36f691ba3d7a2bcf,news/2021/claudia_garcia_louis,page
ad71995281736a1b36f691ba8f4b9711,news/2021/cll_admission_innovation,page
ad70adaf81736a1b36f691baf4108dbd,news/2021/coehd-top-65,page
ad81081d81736a1b36f691bafaf6e5c3,news/2021/coehd-ut-hleathsa-deaf-education,page
ad81193a81736a1b36f691bab3008712,news/2021/doc-student-texas-counseling-award,page
ad71a60881736a1b36f691ba22083f1f,news/2021/doctoral-fellowship,page
ad70334e81736a1b36f691ba164cae61,news/2021/educator_career_expo,page
ad71751681736a1b36f691ba9ec04969,news/2021/emenaha-award,page
ad703c1781736a1b36f691ba04d22628,news/2021/full_professor,page
ad71813281736a1b36f691ba925d8411,news/2021/henderson-lutcher-brown-fellowship,page
ad6feba681736a1b36f691ba15232ab7,news/2021/ilt-students-combat-colonialism-through-art,page
ad80ec3d81736a1b36f691ba4b61860e,news/2021/innovation_in_admissions_award,page
ad81fce981736a1b36f691ba2b886747,news/2021/joshua-lazaro,page
ad6fde8581736a1b36f691ba1fec2971,news/2021/juneteenth_nrao,page
ad6fe3b581736a1b36f691ba782fe794,news/2021/katherine-mcvay-fellowship,page
ad6f98ea81736a1b36f691ba3afa1ec6,news/2021/kathy-ewoldt-research-award,page
ad729f4481736a1b36f691ba05f7ea7c,news/2021/louis-board-directors-aahhe,page
ad80f58481736a1b36f691ba7c340d0f,news/2021/mas-teachers-academy-returns,page
ad725e7281736a1b36f691bae297231c,news/2021/naeyc,page
ad717c3b81736a1b36f691bacf539cde,news/2021/neely-awarded-endowed-fellowship,page
ad811da981736a1b36f691ba80524b2e,news/2021/prasath-two-awards,page
ad6e830681736a1b36f691ba6c745904,news/2021/project early,page
ad6e7e4681736a1b36f691ba1a3531e0,news/2021/project_selfies,page
ad6e965581736a1b36f691ba023bf435,news/2021/regss-chair-receives-asu-award,page
ad81224b81736a1b36f691ba57c9be82,news/2021/roadrunners-honored-by-sa-business-journal,page
ad6e9e5481736a1b36f691ba063bb559,news/2021/saldana_presidents_award,page
ad70c94f81736a1b36f691bab3e086f1,news/2021/see_math,page
ad71d1f581736a1b36f691bab5eb47e5,news/2021/sesame_street_community_summit,page
ad70c42e81736a1b36f691ba13d4632a,news/2021/summer_bridging_institute,page
ad80f10981736a1b36f691ba55357471,news/2021/trauma_education_event,page
ad823c3081736a1b36f691ba8086d326,news/2021/va_internship,page
ad71700781736a1b36f691ba3afcb727,news/2021/wallace_foundation,page
ad822c4e81736a1b36f691ba32ef0fd4,news/2021/womens-history-month,page
ad71945581736a1b36f691baba3f7eb4,news/2021/zhongfeng_tian_dissertaion_award,page
ad724bb381736a1b36f691ba95b43d41,news/2022/aas-teachers-academy-22,page
ad6e48ff81736a1b36f691baa52c2c6e,news/2022/call-for-submission-premio-campoy-ada,page
ad70b97c81736a1b36f691ba1c86e846,news/2022/camp-durango-returns,page
ad71577481736a1b36f691ba720532b9,news/2022/coehd-student-success-center,page
ad739e7f81736a1b36f691baed47a6db,news/2022/coehdstudent-kens5-award,page
ad7072bc81736a1b36f691baf5750504,news/2022/competitve-grant-tian,page
ad73dfd681736a1b36f691ba0800aa0b,news/2022/edpsych-article-of-the-year,page
ad8232ce81736a1b36f691ba920efd10,news/2022/elps-newdeptchair,page
ad812b4181736a1b36f691bad03ef182,news/2022/erica-campos-coehdalumni,page
ad819ed281736a1b36f691ba3817ac6d,news/2022/fullbright-scholarship-hector-castrillon,page
ad813c4581736a1b36f691bac493804b,news/2022/garner-maskill-named-nisd-principal,page
ad73798e81736a1b36f691ba45f04de6,news/2022/grad-spotlights-22,page
ad6eef3781736a1b36f691ba1609e81a,news/2022/gradspotlight-fall22-amanda-villarreal,page
ad6e877581736a1b36f691bace5b49d1,news/2022/gradspotlight-fall22-jen-fassio,page
ad6ee2e981736a1b36f691bad1b1f503,news/2022/gradspotlight-fall22-lesly-tovar,page
ad6ede5f81736a1b36f691badec575d1,news/2022/gradspotlight-fall22-maria-miranda,page
ad6eaec681736a1b36f691bad7d6ae02,news/2022/gradspotlight-fall22-rebecca-resop,page
ad6eb38681736a1b36f691ba4bba5126,news/2022/gradspotlight-fall22-shreyash-halder,page
ad6eaa2d81736a1b36f691ba2edc9d94,news/2022/gradspotlight-fall22-stephanie-gutierrez,page
ad6e4dda81736a1b36f691bafbbdc3e5,news/2022/gradspotlight-fall22-verania-carrillo,page
ad70b48081736a1b36f691baedb88a47,news/2022/manos-de-dios,page
ad7152da81736a1b36f691ba745f3e6c,news/2022/mas-teachers-academy-22,page
ad819a0681736a1b36f691ba79b9962f,news/2022/monica-hernandez-elps,page
ad73da8081736a1b36f691baec8bc0d5,news/2022/musical-sprouts,page
ad732cd281736a1b36f691baa0d0a148,news/2022/sbec-recognizes-epp,page
ad81363681736a1b36f691ba9f282e88,news/2022/sbi-22,page
ad80b9aa81736a1b36f691baa232deab,news/2022/sidury-christiansen-adlle,page
ad6e413581736a1b36f691ba14cb6ee7,news/2022/tiffany-farias,page
ad72599b81736a1b36f691ba7a6f8fc2,news/2022/university-excellence-awards-22,page
ad736a1481736a1b36f691baf566959c,news/2022/utsa-dlp-new-assistantdirector,page
ad8194a281736a1b36f691ba4e43ed5c,news/2022/utsa-educator-prep-program-recognized,page
ad734bee81736a1b36f691ba983603fe,news/2022/utsacoehd-interimdirector-uei,page
ad6e3cc981736a1b36f691ba96ded864,news/2022/van-lac-elected-aera-chair,page
ad6e363181736a1b36f691ba2686bac1,news/2022/westside-sound,page
ad6f569b81736a1b36f691ba9068ec11,news/2023/balletfolklorico23,page
ad73952a81736a1b36f691baf018c950,news/2023/charles-butt-scholars-award-2023,page
ad733a6c81736a1b36f691baa5538014,news/2023/drjasmineharris-book-newsweek,page
ad711c3781736a1b36f691bab33e3567,news/2023/fall-grads-23,page
ad80b06281736a1b36f691ba2b68dfba,news/2023/grad-degree-rankings,page
ad6fc81881736a1b36f691ba71be5db4,news/2023/grad-spotlight-23-bfgarcia,page
ad6fd10a81736a1b36f691bac770de5c,news/2023/grad-spotlight-23-carolynpotral,page
ad6fda0881736a1b36f691ba7b21d50f,news/2023/grad-spotlight-23-lrmoreno,page
ad6fd58781736a1b36f691baf1055ed8,news/2023/grad-spotlight-23-maliboone,page
ad6f66a781736a1b36f691ba800d161a,news/2023/grad-spotlight-23-rstone,page
ad6fcc9481736a1b36f691baeda3dece,news/2023/grad-spotlight-23-tinagonzales,page
ad7098cb81736a1b36f691ba7fc49a5e,news/2023/la-musica-de-la-cultura,page
ad81a3e481736a1b36f691ba814ed94b,news/2023/langston-clark-piper-professor-award,page
ad733faf81736a1b36f691ba7d5a4a74,news/2023/new-faculty-staff-announcement,page
ad709dc181736a1b36f691ba73bc3bde,news/2023/rodriguezphotocontest,page
ad71274081736a1b36f691ba5c0b70b6,news/2023/sista-docta-rebirth,page
ad72423c81736a1b36f691badbeb3c4e,news/2023/sombrilla-bilingual-advantage,page
ad70a69181736a1b36f691ba3e9b56f3,news/2023/txateaward23,page
ad80b4c081736a1b36f691ba58bd5149,news/2023/university-excellence-award-winners-23,page
ad6e173381736a1b36f691ba66fea698,news/2023/usssec-visits-dual-languge-lab-school,page
ad72a41081736a1b36f691bab560de86,news/2023/vittorio-marone-rtechresearch,page
ad81ddd481736a1b36f691bad084e790,news/2023/wtd-23,page